id,date,user,pc,activity
{W1W3-Z9LE34EM-0656ICEV},2011-05-02 07:32:00,RXN2265,PC-8466,Logon
{O4Y3-L5TN13JG-6881BNJD},2011-05-02 07:32:00,SCE1877,PC-6926,Logon
{X3I8-O4BS19UO-3303ZMCF},2011-05-02 07:32:00,TAJ0193,PC-5775,Logon
{M5O4-W9VW22GQ-8350JNSL},2011-05-02 07:32:00,TBD2008,PC-9046,Logon
{L4T7-O9TC34QR-7098ZDKG},2011-05-02 07:32:00,VBP1871,PC-7920,Logon
{W2V3-E1VV01LT-7362XPXZ},2011-05-02 07:32:00,VTB2147,PC-2230,Logon
{X2N9-H2WI08GR-8759DVIS},2011-05-02 07:32:00,WDD0499,PC-7526,Logon
{X5W7-E8YB08TD-3143BLIJ},2011-05-02 07:32:00,WRJ2184,PC-6152,Logon
{N9M1-Y4GZ87SV-5001FWGE},2011-05-02 07:32:00,YZC3244,PC-8635,Logon
{A4Y7-M9YE24OL-3240QWKA},2011-05-02 07:32:00,ZKR1397,PC-4248,Logon
{O0U9-U3SS88DC-9136JFRL},2011-05-02 07:33:00,ARV0704,PC-8043,Logon
{I2H7-B7CL70AB-9604BLGI},2011-05-02 07:33:00,BNS3233,PC-2971,Logon
{P0O0-A3CD69FY-3552YDIO},2011-05-02 07:33:00,DDG1703,PC-0522,Logon
{M5I6-M4WA16DC-0447JHXQ},2011-05-02 07:33:00,DER0400,PC-7325,Logon
{K8K0-S6KM06HN-3449JPGH},2011-05-02 07:33:00,DSN3186,PC-8672,Logon
{O3V1-J7TD09BA-1415UEUW},2011-05-02 07:33:00,EJB1263,PC-4338,Logon
{G9P0-Q4KB80QM-5794ATUY},2011-05-02 07:33:00,GPD3917,PC-0660,Logon
{Z9V5-F4CX82RX-3406HXNF},2011-05-02 07:33:00,IWW0699,PC-4520,Logon
{H9E5-J7HV23VV-9207ZNZS},2011-05-02 07:33:00,JBL3189,PC-2401,Logon
{D4V8-W2KJ32GW-1925JMQP},2011-05-02 07:33:00,JGR3914,PC-5072,Logon
{Q4Z8-V0NQ11EC-7990MQWP},2011-05-02 07:33:00,JNR2260,PC-3368,Logon
{M7H0-J6TR62CF-9324YSQB},2011-05-02 07:33:00,KAM0005,PC-4491,Logon
{I0M6-R3MX15YU-6815RDCU},2011-05-02 07:33:00,KDM3923,PC-0001,Logon
{N6M3-Q8SW01WK-2527OVNK},2011-05-02 07:33:00,KPP2253,PC-7259,Logon
{O5E3-P3CM01RB-6523KUVK},2011-05-02 07:33:00,LPH3918,PC-2216,Logon
{J5V5-F0OE46SS-1867EHKG},2011-05-02 07:33:00,MBR3648,PC-6526,Logon
{B7R3-D3NV48EE-3109IRFG},2011-05-02 07:33:00,NIM0052,PC-8950,Logon
{Q0X7-I2AM95FS-2836ESEC},2011-05-02 07:33:00,NSM2805,PC-1478,Logon
{C9M3-S8YR92AW-3360UOUH},2011-05-02 07:33:00,QCD0386,PC-9878,Logon
{A4K7-A6TO00BX-0153INBH},2011-05-02 07:33:00,SNM1696,PC-8685,Logon
{V1H7-P5NK74PM-0961XEEW},2011-05-02 07:33:00,SWG2200,PC-3881,Logon
{E1O5-F9JS31HH-6350YPSM},2011-05-02 07:33:00,TJB3240,PC-9357,Logon
{W6S0-U5NA26WL-4642VNCW},2011-05-02 07:33:00,TSS3643,PC-5835,Logon
{E6L2-R7RZ41VW-5542PSRX},2011-05-02 07:33:00,VQS3246,PC-6505,Logon
{Q8M7-V5RW08LG-2040IREM},2011-05-02 07:33:00,WOL3226,PC-1580,Logon
{H9H2-S7HB71IV-8809OBYN},2011-05-02 07:33:00,XAR1011,PC-4671,Logon
{X5C6-R8OW89VW-0918LEDB},2011-05-02 07:33:00,XSR3526,PC-2072,Logon
{U9X5-N5LF36NW-1943JGAH},2011-05-02 07:33:00,ZER0085,PC-1471,Logon
{A0R2-P9ZZ58OG-2488KPOJ},2011-05-02 07:34:00,ABW0501,PC-3901,Logon
{Z6G7-V0YF20PI-3300NXYA},2011-05-02 07:34:00,AEF2019,PC-3754,Logon
{B3E2-Y0MA80YL-6617UVVS},2011-05-02 07:34:00,AKW1679,PC-6315,Logon
{P3M6-O5ML28KN-6556MGUV},2011-05-02 07:34:00,APM0190,PC-8966,Logon
{Z2W6-W9BT36QQ-9685BPIB},2011-05-02 07:34:00,BAA2451,PC-1188,Logon
{M6K7-L9SJ62VJ-8013OWTH},2011-05-02 07:34:00,BCH3651,PC-3509,Logon
{T2C3-I4KA24AJ-9368MTHT},2011-05-02 07:34:00,BDP3912,PC-2767,Logon
{T8J3-C8GS78AF-1352OZXS},2011-05-02 07:34:00,BFR3250,PC-8315,Logon
{N9V2-H6EX90BX-4033MBGR},2011-05-02 07:34:00,BKS1860,PC-3699,Logon
{H6O6-M6DI94ZU-3887DINC},2011-05-02 07:34:00,BOJ2179,PC-0820,Logon
{B4J0-R0UQ18UQ-4607LWZZ},2011-05-02 07:34:00,CAM0679,PC-1109,Logon
{Q4O4-U5SO86VK-6610IUKD},2011-05-02 07:34:00,CSR1682,PC-0061,Logon
{Q8R8-Q8QB59VT-8929EXJW},2011-05-02 07:34:00,DBC3871,PC-4703,Logon
{W3B2-B7IW45GV-2362MJLQ},2011-05-02 07:34:00,DCF2185,PC-3805,Logon
{L4U7-Y8YB65TT-2712PSOU},2011-05-02 07:34:00,DFH1681,PC-8492,Logon
{P0M7-A6RZ85ZH-7114GHFF},2011-05-02 07:34:00,DLM1680,PC-7442,Logon
{O3U3-G5DS64QO-7844PVBV},2011-05-02 07:34:00,FMC1002,PC-1123,Logon
{R1Q0-C0NH49OQ-5104HGPQ},2011-05-02 07:34:00,GMA1698,PC-4562,Logon
{X8U3-J1NO95UX-9818LJOT},2011-05-02 07:34:00,HKH0204,PC-0050,Logon
{X7H7-E4CN54ZM-5324ISPA},2011-05-02 07:34:00,HSP1675,PC-9887,Logon
{D1M7-R1SX09MT-3581MCXM},2011-05-02 07:34:00,IQR2187,PC-4309,Logon
{Y7S3-F0PI97JG-4439RZXJ},2011-05-02 07:34:00,IRP3916,PC-3092,Logon
{B5L5-B2RY33BN-6028HXMD},2011-05-02 07:34:00,JCH1410,PC-0332,Logon
{S1O4-Q2MF63XT-5130VHDL},2011-05-02 07:34:00,JSM3633,PC-9967,Logon
{N1A7-Q2MR59YK-3732GBUB},2011-05-02 07:34:00,KJB3654,PC-2218,Logon
{Y2T2-N7YW90XO-3800SHTW},2011-05-02 07:34:00,KMR0682,PC-1419,Logon
{P6J4-F9IN19MP-0111NJLC},2011-05-02 07:34:00,KNM1674,PC-2667,Logon
{K9J6-G8VX74HO-9294YFEO},2011-05-02 07:34:00,LGL2772,PC-5943,Logon
{U4R9-E5OR08CR-9624GCGH},2011-05-02 07:34:00,LLT0291,PC-1250,Logon
{S7M1-S3XP89CH-7798JCVF},2011-05-02 07:34:00,MEW1406,PC-3134,Logon
{P3J2-P2YK95UQ-8092PCKU},2011-05-02 07:34:00,MJS1251,PC-8956,Logon
{A1J7-J0JR82PM-4423WSDI},2011-05-02 07:34:00,MMR0700,PC-1433,Logon
{R4P3-K9XA17ED-1617IRKL},2011-05-02 07:34:00,OBH3008,PC-9101,Logon
{H2B5-Z7BG20LP-0565UHIP},2011-05-02 07:34:00,ODB1853,PC-0326,Logon
{Z6X2-C3BB33QI-2503AUWT},2011-05-02 07:34:00,RDB0702,PC-2008,Logon
{R2L3-F3KG10HX-7297GTEY},2011-05-02 07:34:00,RJM3227,PC-0506,Logon
{D8J2-C4XY69IK-0759ZUHF},2011-05-02 07:34:00,SGW0443,PC-8044,Logon
{Z4M3-M0LO98VX-9229AFCW},2011-05-02 07:34:00,SSL2271,PC-7220,Logon
{V6Q5-Q8JM88TI-7485HRIH},2011-05-02 07:34:00,TDK1689,PC-7593,Logon
{G6B2-D8TE55LK-5418YCUX},2011-05-02 07:34:00,TSO3216,PC-2025,Logon
{R2H1-F6QA68VK-0715TDOD},2011-05-02 07:34:00,VKM2376,PC-0717,Logon
{G1R3-L6HN59CC-9299VMBG},2011-05-02 07:34:00,ZIR1732,PC-2291,Logon
{A8A6-B3KU97HJ-9061HXYK},2011-05-02 07:34:00,ZLB1878,PC-7523,Logon
{C5B4-M8JN29PA-8817OBOB},2011-05-02 07:35:00,AMS0712,PC-3460,Logon
{M8U0-E0TS76DE-2025JUVL},2011-05-02 07:35:00,AOD2178,PC-3261,Logon
{L7G2-Q4RF13GV-1106YGIJ},2011-05-02 07:35:00,ARK3198,PC-9151,Logon
{T0N7-M7EY48IL-4026NCRG},2011-05-02 07:35:00,BBM1701,PC-0658,Logon
{B5R1-H0MS63FC-3291VSDP},2011-05-02 07:35:00,BHG3238,PC-8165,Logon
{A6L4-W0ML75RZ-5835PQYQ},2011-05-02 07:35:00,BJW2134,PC-5838,Logon
{J3S8-F7PI65NP-6695DNFM},2011-05-02 07:35:00,BLL3910,PC-2519,Logon
{B1E5-X8CM35SM-7913IRHK},2011-05-02 07:35:00,DBF3635,PC-0363,Logon
{F2H9-U7KK81LZ-9919MYXB},2011-05-02 07:35:00,DJA0740,PC-7197,Logon
{L3X5-M3FM81YY-2160ARXL},2011-05-02 07:35:00,GCB0201,PC-6789,Logon
{G7R3-G5XX83GY-2033XTRN},2011-05-02 07:35:00,HAR3632,PC-8174,Logon
{Y3Q0-T0OR57HB-3778INNC},2011-05-02 07:35:00,HMT1024,PC-1231,Logon
{Y4R3-L3PA77WP-4441CEHP},2011-05-02 07:35:00,INS3200,PC-0432,Logon
{W6T5-J5ZW43JT-1329RKJR},2011-05-02 07:35:00,JAB3656,PC-3146,Logon
{B0H2-E4HM24SI-9509DHDI},2011-05-02 07:35:00,JDC2176,PC-2402,Logon
{B6J1-D7IJ10EW-0910HGPH},2011-05-02 07:35:00,KAC2449,PC-1140,Logon
{Y6P2-X5LB55BO-3800YRAY},2011-05-02 07:35:00,LBG3911,PC-2183,Logon
{E5S9-P8PA94ZC-7440WOCX},2011-05-02 07:35:00,LTW1378,PC-5232,Logon
{U4U3-Z5SU12RR-9914QVWY},2011-05-02 07:35:00,MDH3639,PC-3383,Logon
{R7L1-B8GT50NG-7955IULC},2011-05-02 07:35:00,MJM3657,PC-4498,Logon
{R2N4-N7LX66VL-2711QQXJ},2011-05-02 07:35:00,OEN0432,PC-4108,Logon
{Q6O9-J9EF86BS-2642FUBW},2011-05-02 07:35:00,QKO2718,PC-7030,Logon
{N8O0-S9JI29SZ-5038OAZV},2011-05-02 07:35:00,RRT1417,PC-6017,Logon
{E3Q8-R6YM72BR-8813WTGC},2011-05-02 07:35:00,SAP2173,PC-4889,Logon
{V6V8-X2PU79PN-4824XYIR},2011-05-02 07:36:00,AFB3228,PC-1951,Logon
{X2F0-M9MR71YH-3225YQSH},2011-05-02 07:36:00,AHD2457,PC-7794,Logon
{W3Q4-Y2WU60YD-4574VWYJ},2011-05-02 07:36:00,ARG0441,PC-9775,Logon
{V6K5-S3FW64EI-9627OETZ},2011-05-02 07:36:00,ASG0072,PC-4895,Logon
{V3T0-K2QT03VY-3023CPGE},2011-05-02 07:36:00,CAS1702,PC-5363,Logon
{U4V0-N5DH27HS-7850ALZV},2011-05-02 07:36:00,CAV1868,PC-6976,Logon
{T5B0-K7KN84BH-3434YMEE},2011-05-02 07:36:00,EBH1882,PC-7768,Logon
{N5U9-G8QU97KV-1391GDZZ},2011-05-02 07:36:00,EIF1865,PC-5326,Logon
{M0H8-K0TS74NN-1041SLOT},2011-05-02 07:36:00,ENM2269,PC-0213,Logon
{G6T7-M5QO87WM-7428PSFP},2011-05-02 07:36:00,FMT2152,PC-1281,Logon
{T8T4-Q6GP13KB-9066DTQG},2011-05-02 07:36:00,FSP0703,PC-7998,Logon
{S5T0-J7DW62LU-3584YGVR},2011-05-02 07:36:00,GNE1365,PC-5750,Logon
{H3P3-Q8QJ78UM-9294MGWT},2011-05-02 07:36:00,IMR3660,PC-6999,Logon
{Z7G3-D8BD58TI-4440LCDF},2011-05-02 07:36:00,IWG0058,PC-4074,Logon
{Q1J7-Q5PF67YD-4849HMGU},2011-05-02 07:36:00,KKH2324,PC-7042,Logon
{R2I7-P4TU66CN-7415DZYM},2011-05-02 07:36:00,LBC0194,PC-2987,Logon
{D3Y9-H5NJ48QE-6554FZVX},2011-05-02 07:36:00,LIC0203,PC-1828,Logon
{G0B7-S4JE35SJ-1709NFDH},2011-05-02 07:36:00,MMA1255,PC-2600,Logon
{J2J3-P9JQ45SM-5639ZMQK},2011-05-02 07:36:00,NGH1256,PC-9068,Logon
{H3R8-V3HL05CT-9965TWRE},2011-05-02 07:36:00,RCT1697,PC-5770,Logon
{C8M9-L4QN38GD-8909YYPU},2011-05-02 07:36:00,RGB1869,PC-8911,Logon
{C3U1-H1ZW76WD-6199PKUT},2011-05-02 07:36:00,SLC1588,PC-3514,Logon
{R9Q7-Q7LS41NP-4966VMUB},2011-05-02 07:36:00,SSD3197,PC-3688,Logon
{R7X4-O3RA60UG-0502DDQV},2011-05-02 07:36:00,UDB1170,PC-9549,Logon
{B9Z7-L0VH15LY-4808FGEK},2011-05-02 07:36:00,VBA1395,PC-4193,Logon
{C8B9-W9RU11QL-6288DPVL},2011-05-02 07:37:00,ALB3649,PC-2300,Logon
{J6W1-Q6PS08RL-9765EIDX},2011-05-02 07:37:00,ASM3925,PC-4840,Logon
{U2T8-H8XN77UC-9017AFYR},2011-05-02 07:37:00,ATH0720,PC-1497,Logon
{I1P7-W5XK06IK-6108AZAP},2011-05-02 07:37:00,ATT0293,PC-2385,Logon
{T5U8-I8RH54SU-6462NVGV},2011-05-02 07:37:00,CDL2145,PC-5833,Logon
{P1Y8-U1CH21TQ-2570MWFO},2011-05-02 07:37:00,CGW0692,PC-6774,Logon
{F4Y1-E0SC54NH-1875RCYK},2011-05-02 07:37:00,ERO2454,PC-8549,Logon
{S4N7-V6KM75NV-1352LANX},2011-05-02 07:37:00,GER1997,PC-9112,Logon
{T7D2-A3MO11IV-2265KLYK},2011-05-02 07:37:00,JJA1399,PC-9743,Logon
{N3O1-Z7FD52ZT-3974IOWV},2011-05-02 07:37:00,JKW0200,PC-1295,Logon
{N2M1-D8FF83NU-0230SFCU},2011-05-02 07:37:00,KCH3224,PC-0535,Logon
{R2U2-Y5AI54NA-2477ANFV},2011-05-02 07:37:00,LBM2142,PC-2188,Logon
{S5T9-L3SR22LO-1932ABPS},2011-05-02 07:37:00,LKS1416,PC-2934,Logon
{J8W1-H5UB54QL-4167YLRD},2011-05-02 07:37:00,LPC2011,PC-0281,Logon
{M5Y6-K9BM29BJ-9524PJSH},2011-05-02 07:37:00,MHH2192,PC-8059,Logon
{X4A0-R0XK86WG-0279YJZJ},2011-05-02 07:37:00,MMD2022,PC-2483,Logon
{N8D3-R3QI87WH-7139JQCP},2011-05-02 07:37:00,NLS1866,PC-6907,Logon
{U5O2-Q7OF03LU-9987KITX},2011-05-02 07:37:00,PMT2264,PC-5962,Logon
{E9A7-H4PH24AA-5851ELDL},2011-05-02 07:37:00,PWM0708,PC-5380,Logon
{J6D1-S6RW47RQ-1859GGME},2011-05-02 07:37:00,WAH3836,PC-6060,Logon
{K3W4-F3MM08GA-3765NCCD},2011-05-02 07:37:00,WLC0115,PC-7913,Logon
{I4C6-Q2CJ36GU-2425EXAJ},2011-05-02 07:38:00,AEH2020,PC-9884,Logon
{X8K6-G7MI06EH-2066NQVG},2011-05-02 07:38:00,AKK2125,PC-8941,Logon
{H0P7-G2UJ24AV-0153TQOT},2011-05-02 07:38:00,BWG3220,PC-9141,Logon
{V5W5-N2EG48NQ-6987LTSI},2011-05-02 07:38:00,IBM1700,PC-9385,Logon
{Y7T6-Z6LW07EN-3093RVMG},2011-05-02 07:38:00,IMS2191,PC-0279,Logon
{Q0B2-A7BV52ZA-9008EULT},2011-05-02 07:38:00,KUS2137,PC-4876,Logon
{V5L0-O7RB95FN-5748ITTT},2011-05-02 07:38:00,LCK1403,PC-4866,Logon
{F9S8-I2VW11IG-7555UFRV},2011-05-02 07:38:00,MET1881,PC-0186,Logon
{M6X0-G2IH65SP-6479XNTX},2011-05-02 07:38:00,MKR2258,PC-6788,Logon
{K9I1-F2OR52DE-9085SBNC},2011-05-02 07:38:00,PIP3915,PC-5614,Logon
{K0R9-L0CY35HM-8402URVG},2011-05-02 07:38:00,QRJ1597,PC-5898,Logon
{E4M9-G5NT81HN-1603CBQQ},2011-05-02 07:38:00,SDW0370,PC-8438,Logon
{O0L5-A2ML51AY-4877OINY},2011-05-02 07:38:00,SEM1862,PC-0085,Logon
{H8U7-G6BW25IC-3875HBID},2011-05-02 07:38:00,SLL0504,PC-2773,Logon
{A3R9-Q5TS80VB-8713PJXH},2011-05-02 07:38:00,SPM1684,PC-7491,Logon
{T4O9-T5TS06IU-8612WJDQ},2011-05-02 07:38:00,WVC3623,PC-4663,Logon
{Y4N4-H6QY95XH-4244BNSF},2011-05-02 07:39:00,AHC1994,PC-5218,Logon
{Q9C3-R2KE45NX-1617RKLR},2011-05-02 07:39:00,CID3640,PC-5401,Logon
{N6W6-Z9ET26PO-0549EHTH},2011-05-02 07:39:00,CKB3645,PC-8383,Logon
{Q6N9-J6RO99WD-3932UILD},2011-05-02 07:39:00,DWB0238,PC-3102,Logon
{Z2U2-K1RE07MA-7217RKFT},2011-05-02 07:39:00,FCM3926,PC-2304,Logon
{X1N5-F8DD92DY-5251KJNK},2011-05-02 07:39:00,HHF1995,PC-4472,Logon
{N8M0-L9IB13PF-7093PMVO},2011-05-02 07:39:00,KLZ0507,PC-3501,Logon
{Z2O6-D2FN55CM-5317GHWF},2011-05-02 07:39:00,QBL1386,PC-2737,Logon
{L2K8-P2UM30JD-4828ZIEY},2011-05-02 07:39:00,RMB2275,PC-3731,Logon
{N2F5-O5MB74YT-0091JEWC},2011-05-02 07:39:00,RPW2445,PC-2372,Logon
{M1R5-Q2KQ95GL-1975QRFD},2011-05-02 07:39:00,RVR0095,PC-1239,Logon
{H6C7-N8IT60HB-2410HBAF},2011-05-02 07:39:00,SMM3221,PC-6454,Logon
{N7L6-O5UL75CZ-3798ILME},2011-05-02 07:39:00,WYC2416,PC-7002,Logon
{T1V7-Y7US73WC-6617JRQP},2011-05-02 07:39:40,WAL0050,PC-1595,Logon
{A8F4-Q7DJ12LH-6383LNMC},2011-05-02 07:40:00,ACH1405,PC-4476,Logon
{O2S7-H2XB84GA-4373WSRD},2011-05-02 07:40:00,AGB0057,PC-3807,Logon
{N6R0-O3BA87LC-0125AVPX},2011-05-02 07:40:00,AZA1012,PC-9811,Logon
{E5B1-U8YI21LN-6130ARSX},2011-05-02 07:40:00,BOV1609,PC-3155,Logon
{E4H4-X0CD47CL-3539ZGPF},2011-05-02 07:40:00,CBL3631,PC-7419,Logon
{V1O2-P4ZQ36NJ-9672LKPP},2011-05-02 07:40:00,CLM1874,PC-3622,Logon
{Q5W5-Y8WL65XJ-6586NHZS},2011-05-02 07:40:00,ECB1683,PC-9614,Logon
{Z7Z6-K2YZ41ZF-6887EZDX},2011-05-02 07:40:00,EDP1880,PC-4123,Logon
{O6N5-D3PX07MV-4909MVNX},2011-05-02 07:40:00,GKK2422,PC-2775,Logon
{W4Q0-K8LD11UT-8577URHP},2011-05-02 07:40:00,HDP1890,PC-9014,Logon
{L4M7-J1CU93TH-8640QOPL},2011-05-02 07:40:00,HID1899,PC-2433,Logon
{B5B5-I5XW68BX-8125OFFB},2011-05-02 07:40:00,JME0387,PC-0490,Logon
{N2M6-W9NQ61DF-9089MIGP},2011-05-02 07:40:00,LNM1879,PC-1338,Logon
{O4I2-X9GA93VK-7792MMDT},2011-05-02 07:40:00,RFJ2193,PC-6641,Logon
{D0L9-M7GU18NL-9758OSWN},2011-05-02 07:40:00,RTS2009,PC-7059,Logon
{T4D2-H0DV45WM-9735KDVH},2011-05-02 07:40:00,SCJ2279,PC-7440,Logon
{H8M0-Q4LE53YR-6020MGTY},2011-05-02 07:40:00,XCB1390,PC-5666,Logon
{F9W5-T9BZ02XB-8677AKNW},2011-05-02 07:41:00,BCW3480,PC-2063,Logon
{H8C4-I6ON18JQ-1798EYZL},2011-05-02 07:41:00,BTR2026,PC-9562,Logon
{F9M9-L7XS30XP-4173WYJT},2011-05-02 07:41:00,ELW1413,PC-7631,Logon
{D9T6-I8LS92XD-9699NBGI},2011-05-02 07:41:00,FBM2755,PC-1525,Logon
{K9S2-D6AT42AY-1575GFIB},2011-05-02 07:41:00,GNH1735,PC-8251,Logon
{T3G2-Z5WP28SZ-8365ZBDN},2011-05-02 07:41:00,ILS0713,PC-3372,Logon
{N4O7-W5PS66FA-4948MCBN},2011-05-02 07:41:00,INH1250,PC-9534,Logon
{R6D1-C3FU95XT-8999MCEZ},2011-05-02 07:41:00,LMB3241,PC-0054,Logon
{P9K8-A7OV97XF-9937LHFR},2011-05-02 07:41:00,PSD1409,PC-8286,Logon
{T0V8-O7QQ73GQ-3171OVMX},2011-05-02 07:41:00,SCD3192,PC-1763,Logon
{D9M7-T0DX00ZJ-4078HQFQ},2011-05-02 07:41:00,SNM1257,PC-3299,Logon
{M0F1-K5GV98HO-2934QYNL},2011-05-02 07:41:12,ATR1677,PC-1117,Logon
{H9W3-G0DV75OT-6147JXVD},2011-05-02 07:42:00,EKK0503,PC-9315,Logon
{R2A4-H7KY35NY-2322YPZU},2011-05-02 07:42:00,GIT2266,PC-2581,Logon
{F0M6-H4GR26ST-5026UKCG},2011-05-02 07:42:00,JNR1694,PC-3919,Logon
{E5A9-T1HH23TT-0737EQSL},2011-05-02 07:42:00,KCW2117,PC-8304,Logon
{A6Z5-C1MI93ZR-7139ZLEG},2011-05-02 07:42:00,KJS1940,PC-3182,Logon
{D8U9-R9SM38WW-4385CZFO},2011-05-02 07:42:00,KLM2448,PC-0687,Logon
{H6T3-C7PA15CB-0264YMZO},2011-05-02 07:42:00,MNW2267,PC-4925,Logon
{B4D7-V4RH62GN-9746FMZQ},2011-05-02 07:42:00,NGW2341,PC-1120,Logon
{T6Z9-A6GV45JY-6359HHER},2011-05-02 07:42:00,QKP3927,PC-8066,Logon
{O8L4-K2WZ64PO-4991CWVS},2011-05-02 07:42:00,RTP0754,PC-4965,Logon
{X5V1-D8DD79TR-4319VPBY},2011-05-02 07:42:00,SJB0086,PC-8004,Logon
{U3Q2-P7NI92NW-0668WLNC},2011-05-02 07:43:00,AWB2282,PC-3439,Logon
{O4T4-D8ES38BR-8452REIF},2011-05-02 07:43:00,KPS3882,PC-9504,Logon
{L4Z8-K8SN20OK-5509OCGN},2011-05-02 07:43:00,RDE3239,PC-4628,Logon
{N4P1-D3QS25JR-9621GPVY},2011-05-02 07:43:00,SRM3245,PC-0647,Logon
{Q4H9-N9RX56BY-1143TXTH},2011-05-02 07:43:00,SRR2711,PC-6931,Logon
{I0B2-H4EM68OP-3013DJKJ},2011-05-02 07:43:00,TCG1262,PC-4941,Logon
{D6N4-F4ST62QX-9279UTAI},2011-05-02 07:43:00,ZTB2410,PC-0638,Logon
{I2W5-V8ZS04IO-8059POSD},2011-05-02 07:44:00,AKI3229,PC-8712,Logon
{P1U0-Y1MR17TP-5912SNSS},2011-05-02 07:44:00,DDL3007,PC-0963,Logon
{I4J1-G9RN10MX-8299JHXT},2011-05-02 07:44:00,SQC2334,PC-1846,Logon
{D1R3-A2XA34CO-0809BJPU},2011-05-02 07:45:00,AAP0352,PC-6708,Logon
{H2V0-K5BF29BM-7237JVRQ},2011-05-02 07:45:00,AAP1919,PC-5958,Logon
{E5H2-Q5ZK71KO-0326QNYW},2011-05-02 07:45:00,AAP1942,PC-8050,Logon
{B6A3-E1NP37IK-3619OWUF},2011-05-02 07:45:00,AGG3958,PC-6123,Logon
{I1F2-A9BR78RZ-3446HNHJ},2011-05-02 07:45:00,AJQ0809,PC-2245,Logon
{M2O6-Q9ZS44KV-7810MHAM},2011-05-02 07:45:00,ARW0818,PC-0676,Logon
{D2H9-Y9PU00XM-1216ZUVC},2011-05-02 07:45:00,AUR1359,PC-5756,Logon
{Q4S4-E6LW03MD-4093NNVZ},2011-05-02 07:45:00,BAL3618,PC-3456,Logon
{N9H5-M6ON49NH-8035ZHII},2011-05-02 07:45:00,BBV3875,PC-7822,Logon
{N5Z9-R7AQ65UZ-0872RCQS},2011-05-02 07:45:00,BCB2676,PC-0113,Logon
{V4O7-C0XY73NG-0674DERG},2011-05-02 07:45:00,BMC3061,PC-4827,Logon
{N3P6-N7GK86QF-7740PEGH},2011-05-02 07:45:00,CFR1523,PC-9600,Logon
{A1V5-C9GV03WB-4663UYPM},2011-05-02 07:45:00,CJJ1491,PC-6561,Logon
{P6O8-K6MM29NS-6579TCZP},2011-05-02 07:45:00,CMA1475,PC-8790,Logon
{M1N7-E5SZ52LI-4334OUJR},2011-05-02 07:45:00,CNC1177,PC-5198,Logon
{G3A5-U7PH91JU-8409MTYT},2011-05-02 07:45:00,CQC0997,PC-4253,Logon
{W2L3-F7KG74FS-7103OEUM},2011-05-02 07:45:00,CSP2186,PC-6048,Logon
{L8M5-S9PP13GT-9575COIF},2011-05-02 07:45:00,CTH3020,PC-4715,Logon
{G8X0-B2QN55IE-1778MXDY},2011-05-02 07:45:00,DCW1901,PC-1738,Logon
{K4F4-Y9DQ87UR-0606EBIB},2011-05-02 07:45:00,DFW1467,PC-5681,Logon
{F3B6-J2JJ78VD-5561KUAQ},2011-05-02 07:45:00,DHC1989,PC-2393,Logon
{O8Q5-R4IG70SN-9587PLZL},2011-05-02 07:45:00,DMW2128,PC-7157,Logon
{S8V4-G0ZV38OD-5581YAUS},2011-05-02 07:45:00,DNM2823,PC-9321,Logon
{B9L2-W0AG66SN-5924CGAP},2011-05-02 07:45:00,DRB1780,PC-6323,Logon
{Z7G6-E2SQ02ST-4799ZJJL},2011-05-02 07:45:00,EAH3107,PC-3850,Logon
{H6N7-K2ZE17JR-3061JFMU},2011-05-02 07:45:00,EMO2120,PC-1285,Logon
{W4W0-T3YR53YE-7329FDFP},2011-05-02 07:45:00,EWA1486,PC-9442,Logon
{T7Z8-O5KM31SJ-7682SWLI},2011-05-02 07:45:00,FAD3114,PC-2106,Logon
{W8I2-A7PI86MM-6358REYE},2011-05-02 07:45:00,FNM1482,PC-2066,Logon
{A1U6-W3PW22SR-6210BZLE},2011-05-02 07:45:00,FZS0969,PC-6630,Logon
{S6I6-N2HN59TG-2610AMXQ},2011-05-02 07:45:00,GEH0420,PC-9052,Logon
{A7B3-J6TO70VN-7411SKSF},2011-05-02 07:45:00,GKB2807,PC-6822,Logon
{K9W4-G0VO48FV-6972IPWH},2011-05-02 07:45:00,GLM3106,PC-6813,Logon
{I6J2-O3SC21ZT-2715VXNC},2011-05-02 07:45:00,GLR3888,PC-0636,Logon
{Y8N2-W1EM78DR-0369IQZT},2011-05-02 07:45:00,GTC0747,PC-0870,Logon
{V9X9-E7AM03WH-0918MAGE},2011-05-02 07:45:00,GWM1366,PC-2839,Logon
{J2W2-N1LD36TJ-2375DKOV},2011-05-02 07:45:00,HCB1383,PC-8470,Logon
{I7X1-W3PD89BY-4819JDVH},2011-05-02 07:45:00,HDC2132,PC-7278,Logon
{P6J9-Q7MK53DD-5768EFTH},2011-05-02 07:45:00,HNC0074,PC-7789,Logon
{V5K7-V4DF66JM-8903QKBK},2011-05-02 07:45:00,HSS3959,PC-8609,Logon
{W2I1-H2ZT48PL-4244NFXP},2011-05-02 07:45:00,HUC1396,PC-1686,Logon
{Q8B2-T6AM57VD-7147EYAA},2011-05-02 07:45:00,IBW1779,PC-6551,Logon
{G5P8-P6HJ64LR-1772ITNI},2011-05-02 07:45:00,ICH1478,PC-1393,Logon
{C0X9-X5VU45FO-4753MNCJ},2011-05-02 07:45:00,JAS0353,PC-7418,Logon
{F5T7-J3XU44LX-6710LMXS},2011-05-02 07:45:00,JCM1388,PC-5968,Logon
